"site_treatment","depth","sample_id.soil","total_c_ug.soil","total_n_ug.soil","site_id_soils","zone","treatment","sample_id.roots","Site","Treatment","total_c_ug.roots.litter","total_n_ug.roots.litter"
"N1-CO2","15","N1-CO2-7-soil-15",1089.85,101.13,"N1","north","CO2","N1CO27root15","N1","CO2",851.61,35.61
"N1-CO2","15","N1-CO2-7-soil-15",1089.85,101.13,"N1","north","CO2","N1CO24root15","N1","CO2",539.42,37.93
"N1-CO2","15","N1-CO2-7-soil-15",1089.85,101.13,"N1","north","CO2","N1CO28root15","N1","CO2",1008.79,50.19
"N1-CO2","15","N1-CO2-7-soil-15",1089.85,101.13,"N1","north","CO2","N1CO21root15","N1","CO2",803.33,40.51
"N1-CO2","15","N1-CO2-2-soil-15",1273.17,114.46,"N1","north","CO2","N1CO210root15","N1","CO2",732.46,43.51
"N1-CO2","15","N1-CO2-2-soil-15",1273.17,114.46,"N1","north","CO2","N1CO23root15","N1","CO2",487.44,38.52
"N1-CO2","15","N1-CO2-2-soil-15",1273.17,114.46,"N1","north","CO2","N1CO25root15","N1","CO2",428.67,34.6
"N1-CO2","15","N1-CO2-2-soil-15",1273.17,114.46,"N1","north","CO2","N1CO26root15","N1","CO2",672.74,41.83
"N1-CO2","15","N1-CO2-2-soil-15",1273.17,114.46,"N1","north","CO2","N1CO29root15","N1","CO2",516.65,42.09
"N1-CO2","15","N1-CO2-2-soil-15",1273.17,114.46,"N1","north","CO2","N1CO22root15","N1","CO2",492.98,37.76
"N1-CO2","15","N1-CO2-2-soil-15",1273.17,114.46,"N1","north","CO2","N1CO27root15","N1","CO2",851.61,35.61
"N1-CO2","15","N1-CO2-2-soil-15",1273.17,114.46,"N1","north","CO2","N1CO24root15","N1","CO2",539.42,37.93
"N1-CO2","15","N1-CO2-2-soil-15",1273.17,114.46,"N1","north","CO2","N1CO28root15","N1","CO2",1008.79,50.19
"N1-CO2","15","N1-CO2-2-soil-15",1273.17,114.46,"N1","north","CO2","N1CO21root15","N1","CO2",803.33,40.51
"N1-CO2","15","N1-CO2-8-soil-15",410.7,34.68,"N1","north","CO2","N1CO210root15","N1","CO2",732.46,43.51
"N1-CO2","15","N1-CO2-8-soil-15",410.7,34.68,"N1","north","CO2","N1CO23root15","N1","CO2",487.44,38.52
"N1-CO2","15","N1-CO2-8-soil-15",410.7,34.68,"N1","north","CO2","N1CO25root15","N1","CO2",428.67,34.6
"N1-CO2","15","N1-CO2-8-soil-15",410.7,34.68,"N1","north","CO2","N1CO26root15","N1","CO2",672.74,41.83
"N1-CO2","15","N1-CO2-8-soil-15",410.7,34.68,"N1","north","CO2","N1CO29root15","N1","CO2",516.65,42.09
"N1-CO2","15","N1-CO2-8-soil-15",410.7,34.68,"N1","north","CO2","N1CO22root15","N1","CO2",492.98,37.76
"N1-CO2","15","N1-CO2-8-soil-15",410.7,34.68,"N1","north","CO2","N1CO27root15","N1","CO2",851.61,35.61
"N1-CO2","15","N1-CO2-8-soil-15",410.7,34.68,"N1","north","CO2","N1CO24root15","N1","CO2",539.42,37.93
"N1-CO2","15","N1-CO2-8-soil-15",410.7,34.68,"N1","north","CO2","N1CO28root15","N1","CO2",1008.79,50.19
"N1-CO2","15","N1-CO2-8-soil-15",410.7,34.68,"N1","north","CO2","N1CO21root15","N1","CO2",803.33,40.51
"N1-CO2","15","N1-CO2-3-soil-15",1349.63,125.64,"N1","north","CO2","N1CO210root15","N1","CO2",732.46,43.51
"N1-CO2","15","N1-CO2-3-soil-15",1349.63,125.64,"N1","north","CO2","N1CO23root15","N1","CO2",487.44,38.52
"N1-CO2","15","N1-CO2-3-soil-15",1349.63,125.64,"N1","north","CO2","N1CO25root15","N1","CO2",428.67,34.6
"N1-CO2","15","N1-CO2-3-soil-15",1349.63,125.64,"N1","north","CO2","N1CO26root15","N1","CO2",672.74,41.83
"N1-CO2","15","N1-CO2-3-soil-15",1349.63,125.64,"N1","north","CO2","N1CO29root15","N1","CO2",516.65,42.09
"N1-CO2","15","N1-CO2-3-soil-15",1349.63,125.64,"N1","north","CO2","N1CO22root15","N1","CO2",492.98,37.76
"N1-CO2","15","N1-CO2-3-soil-15",1349.63,125.64,"N1","north","CO2","N1CO27root15","N1","CO2",851.61,35.61
